,Exponential Samples
0,0.024902882740574075
1,0.03966472905512193
2,0.16796709059908121
3,0.04752086620625591
4,0.4168426840256142
5,0.19938441563735212
6,0.051821628187690406
7,0.6044066073683684
8,0.15859524481043283
9,0.11959637031320981
10,0.21119128880763346
11,0.006327001007762826
12,0.2449224814484744
13,0.08987205851177821
14,0.04057155478440177
15,0.5898533877913618
16,0.2520535202036165
17,0.059475662126761454
18,0.10902851590411028
19,0.0783241665622644
20,0.045641591782499165
21,0.1581607925563635
22,0.0851645287058252
23,0.45473382394870626
24,0.09136851290023557
25,0.133070547068432
26,0.34984521041341826
27,0.18374571115370844
28,0.2854940362328762
29,0.0074600635559985305
30,0.42047916888137227
31,0.24283659032806773
32,0.45696474987449065
33,0.010112440684184048
34,0.3473714554941858
35,0.10252269906469204
36,0.5240733796812703
37,0.5994249756978021
38,0.03191719500271471
39,0.38101289520176723
40,0.02386332483817346
41,0.02344916023581092
42,0.041940330497272964
43,0.22257736575335552
44,0.06693987697535773
45,0.2288692801492602
46,0.07720871409544333
47,0.2449224814484744
48,0.16659831488621
49,0.19884086311946741
50,0.10509715881080743
51,0.2572170610257434
52,0.07720871409544333
53,0.011521068294876324
54,0.051821628187690406
55,0.16344401700718947
56,0.10672490631482812
57,0.44189426627344197
58,0.006458828376190316
59,0.02180187212228319
60,0.01750739278514296
61,0.006553049335866461
62,0.13535281362681742
63,0.1488564370064166
64,0.04148292602504618
65,0.12385792903539482
66,0.27201985947765406
67,0.0017447079406267168
68,0.09810328956938995
69,0.06693987697535773
70,0.011908905860490123
71,0.016887841360010165
72,0.09409356580305225
73,0.09655060565154727
74,0.05376622620891731
75,0.3243256908325232
76,0.5898533877913618
77,0.13689039726649443
78,0.10380537233376294
79,0.08574634738412898
80,0.006666178976652995
81,0.04401301112722338
82,0.6501001397830786
83,0.06985326778774993
84,0.08662258128157424
85,0.12712095507009244
86,0.13382812392204035
87,0.1315647978263007
88,0.5176931397155848
89,0.28375413604812155
90,0.24916745672065463
91,0.051097732678747704
92,0.04424477429667803
93,0.1908767499088505
94,0.21235679396416413
95,0.0733576555355439
96,0.20435092666407267
97,0.04918131776321455
98,0.03170061584450506
99,0.08750305845899023
100,0.37663152218739254
101,0.08662258128157424
102,0.11237085601329819
103,0.16255274962533367
104,0.21061132601343344
105,0.18881061197242957
106,0.048230632293614704
107,0.42047916888137227
108,0.014824634178639735
109,0.2625315407193685
110,0.2672138127379894
111,0.24422452211989884
112,0.06958647657066819
113,0.13689039726649443
114,0.5273494715908482
115,0.09378875737991545
116,0.05523844625121174
117,0.1612239872059292
118,0.28462200491224116
119,0.2557267397158927
120,0.20888245547361028
121,0.11002478240676944
122,0.045641591782499165
123,0.007991252278033241
124,0.09106823507505866
125,0.3169035100106587
126,0.3179454508668378
127,0.042858606094739966
128,0.032351128816847596
129,0.3780802803054247
130,0.04918131776321455
131,0.04171148442323729
132,0.1334489409236728
133,0.277792350080305
134,0.08957423996555304
135,0.1419792899759913
136,0.08199738607454067
137,0.017868103503334638
138,0.049897608309410965
139,0.15218500926902676
140,0.1581607925563635
141,0.019763530349698348
142,0.35235308716475205
143,0.0679938983725079
144,0.17496994006828398
145,0.19508082580355127
146,0.14599309937584581
147,0.06175952137639296
148,0.32541117573916034
149,0.055979050867145524
150,0.05872070665389468
151,0.033222115784598986
152,0.054992246915260966
153,0.09686008348255286
154,0.35235308716475205
155,0.06958647657066819
156,0.12349895916199162
157,0.018692403633033098
158,0.04918131776321455
159,0.11372518765202376
160,0.019055475339295695
161,0.19244190891550508
162,0.06537021385813903
163,0.04918131776321455
164,0.051580009305862456
165,0.027000001512444357
166,0.8778752249640547
167,0.006873766315617966
168,0.16980830311143194
169,0.03256848470862463
170,0.04799373560626634
171,0.03344051602925973
172,0.03989101182461372
173,0.03519722710412096
174,0.0019008105279743406
175,0.1832468955272083
176,0.06381398596801723
177,0.1181977620180906
178,0.09017036568586183
179,0.20603704244322343
180,0.42607401591169114
181,0.09841542386376348
182,0.1315647978263007
183,0.1415827398039258
184,0.12859020089808126
185,0.08927690844905654
186,0.07200180897043804
187,0.3695559919601792
188,0.05697123986042884
189,0.2664250124473352
190,0.1551483514023212
191,0.6635743165383008
192,0.07665354364328145
193,0.014430533706104127
194,0.23275166641663636
195,0.7112769100778445
196,0.7304333674701766
197,0.06589193066322135
198,0.34014594119427416
199,0.047757147177544194
200,0.04941976787190741
201,0.30195112851302747
202,0.4338121276241995
203,0.2953730091352998
204,0.30195112851302747
205,0.18829772536485842
206,0.4835018248968689
207,0.20491122967087413
208,0.35362011794949627
209,0.1096920866473011
210,0.1857547722785421
211,0.1133856578020609
212,0.06852320931931853
213,0.08957423996555304
214,0.10156659774587982
215,0.4503524509343316
216,0.54107811750142
217,0.008352587625717313
218,0.06985326778774993
219,0.45252994021555265
220,0.015833473983111527
221,0.09318066924848868
222,0.3614135187552749
223,0.3048448476595546
224,0.0919705604099912
225,0.01822953126152624
226,0.37954067515947276
227,0.1022034396642802
228,0.5559286685949232
229,0.14437692711816472
230,0.032351128816847596
231,0.5176931397155848
232,0.2380606036334113
233,0.415051357399612
234,0.40805748815819454
235,0.21471046025362542
236,0.23941241790386913
237,0.08957423996555304
238,0.789601076640109
239,0.04171148442323729
240,0.1415827398039258
241,0.052063568585091334
242,0.07888446956906588
243,1.129928745167671
244,0.25132769815460965
245,0.03365917893212526
246,0.0035433957425204388
247,0.19454996942112676
248,0.1638912944328008
249,0.2263263270629438
250,0.11440615542114413
251,0.2463264898291854
252,0.24145917327198452
253,0.029548896272322715
254,0.03431674992670496
255,0.03541801423728496
256,0.2881355090624962
257,0.3243256908325232
258,0.26563961951196857
259,0.11035808805798056
260,0.022417857517180655
261,0.28902459729780383
262,0.5559286685949232
263,0.13497044086376675
264,0.11889572134666616
265,0.012901652534635256
266,0.2182990934969566
267,0.011540440537377007
268,0.24774142445501354
269,0.00126072447325993
270,0.35618097974617613
271,0.24077435821826143
272,1.129928745167671
273,0.18829772536485842
274,0.04424477429667803
275,0.43983980168181774
276,0.13727683350509687
277,0.17213635261070245
278,0.15260539831600484
279,0.406350262640042
280,0.09841542386376348
281,0.12135989705661228
282,0.032351128816847596
283,0.11102653800876396
284,0.026578638214196627
285,0.134208099361942
286,0.4835018248968689
287,0.06852320931931853
288,0.002563440796273027
289,0.0577189510519002
290,0.0919705604099912
291,0.20547326468354193
292,0.056474468562815565
293,0.06563088513120238
294,0.08285569537180203
295,0.019055475339295695
296,0.06433124999205928
297,0.014528978768782168
298,0.22695873876773015
299,0.15600396795457805
300,0.004808481820906091
301,0.01299927303728544
302,0.1096920866473011
303,0.4638266276895538
304,0.07554826253848472
305,0.4615104411845666
306,0.18727627221863602
307,0.18984074606982546
308,0.12349895916199162
309,0.3461470860066687
310,0.21061132601343344
311,0.03256848470862463
312,0.11994770990431053
313,0.22134469539237756
314,0.21003320730118258
315,0.7635827414327139
316,0.4097808961499298
317,0.1759243684112192
318,0.3473714554941858
319,0.3029105934404536
320,0.15302676161425258
321,0.05897201033152226
322,0.02594841858210822
323,0.15557565637413093
324,0.2972283128033437
325,0.30004725580988284
326,0.03344051602925973
327,0.03786453433099255
328,0.03170061584450506
329,0.11372518765202376
330,0.014115867223118632
331,0.37519421682246284
332,0.012239219506339476
333,0.1220701252324423
334,0.10770859590178226
335,0.2712099775959485
336,0.10252269906469204
337,0.029548896272322715
338,0.2288692801492602
339,0.019358589911003046
340,0.17496994006828398
341,0.24916745672065463
342,0.406350262640042
343,0.02365612460854916
344,0.28375413604812155
345,0.009192131566754967
346,0.8778752249640547
347,0.7518484648622464
348,0.0783241665622644
349,0.059223661834420155
350,0.614799046248359
351,0.03853752034975372
352,0.19829893073071506
353,0.08957423996555304
354,0.011753671544278416
355,0.24352923185837094
356,0.04634404538705273
357,0.11994770990431053
358,0.16255274962533367
359,0.16433967488647233
360,0.6315941953630891
361,0.05523844625121174
362,0.03083686988839636
363,0.054992246915260966
364,0.07804466123155777
365,0.09501106908807486
366,0.14317415636930667
367,0.20491122967087413
368,0.30004725580988284
369,0.026578638214196627
370,0.37519421682246284
371,0.08285569537180203
372,0.08142742265538222
